musique intrumentale ou avec parole,support écouté,station radio,genre musicale,période musicale,langue écouté,type de parole,frequence ecouté artiste émergent,tempo,fréquence en travaillant,fréquence en sport,fréquence en cuisine,fréquence en transport,fréquence en passant le temps,fréquence écoute mensuel,fréquence écoute journalier,genre,age,environnement,situation professionnel
les deux,plateforme de streaming;cd;dvd;vinyles,nrj;skyrock;m radio,rap;pop;electro;classical music,années 2020;années 2010;années 2000;années 90,francophone,peu importe,4,150.0,4,5,3,5,4,1,2,homme,19.0,campagne,étudiant
les deux,plateforme de streaming;radio;cd;dvd;vinyles,rtl2,rock,1970-1990,francophone;anglophone,peu importe,1,120.0,5,1,4,5,3,1,1,homme,54.0,campagne,salarié
les deux,streaming,skyrock,rap,années 2020;années 2010,francophone;anglophone,peu importe,3,120.0,5,5,5,5,4,1,1,homme,20.0,campagne,étudiant
les deux,plateforme de streaming;cd;dvd;vinyles,nan,rock;rap;pop,années 2020;années 2010;années 2000,francophone;anglophone,poétiques,4,120.0,5,5,5,5,5,1,1,homme,21.0,ville,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rap,années 2020;années 2010,francophone;anglophone,engagées,5,120.0,5,5,5,5,4,1,1,homme,22.0,ville,étudiant
les deux,plateforme de streaming;radio,nrj;skyrock,rock;rap;jazz;pop,années 2020;années 2010;années 2000,francophone;anglophone;brésilienne,engagées,3,120.0,4,4,3,5,4,1,1,homme,19.0,campagne,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rock;pop,1970-1990,francophone;anglophone,poétiques,2,120.0,3,1,2,3,4,1,3,homme,25.0,banlieue,salarié
avec des paroles,streaming,nan,metal,années 2010;années 2000;années 90,francophone;anglophone;allemande,peu importe,2,150.0,4,1,2,4,5,1,2,homme,20.0,ville,étudiant
avec des paroles,bibliothèque de musique,nan,rock,années 90;années 70 - 90,francophone;anglophone,peu importe,1,,3,5,5,4,2,1,2,homme,21.0,campagne,étudiant
les deux,plateforme de streaming;cd;dvd;vinyles,nan,rock;electro,années 90;années 70 - 90,francophone;anglophone;allemande,peu importe,3,120.0,4,4,4,4,4,1,1,homme,25.0,ville,salarié
avec des paroles,streaming,nan,rap;folk,ne sait pas,francophone;cyrillique,poétiques,4,150.0,5,5,4,2,5,1,2,femme,21.0,ville,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rap;electro;funk,années 2020;années 2010;années 2000;années 90,francophone;anglophone;hispanique;allemande,peu importe,4,120.0,5,3,5,5,4,1,1,homme,22.0,banlieue,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,rock;rap;metal,années 2010;années 2000;années 90,francophone;anglophone,peu importe,4,120.0,5,5,5,5,5,1,1,homme,20.0,banlieue,étudiant
instrumentaux,streaming,nan,rock;electro,années 2020;années 2000;années 90,francophone;anglophone,poétiques,3,,3,1,2,5,3,1,2,homme,19.0,ville,étudiant
avec des paroles,plateforme de streaming;radio;cd;dvd;vinyles,oceane chante france;rmc,rock;rap;pop;french variety,aucune préférence,francophone;anglophone;hispanique,poétiques,4,120.0,1,5,4,5,5,1,2,femme,53.0,campagne,salarié
les deux,streaming,nrj;skyrock;fun radio,rap,années 2020;années 2010,francophone;anglophone;hispanique;brésilienne,peu importe,2,150.0,4,3,3,5,2,1,3,homme,21.0,ville,étudiant
les deux,streaming,nan,rock;metal,années 2010;années 2000,anglophone,engagées,4,150.0,4,5,4,5,4,1,1,homme,29.21212121212121,ville,étudiant
avec des paroles,plateforme de streaming;radio,nostalgie,rock;pop,1970-1990,francophone;anglophone,poétiques,1,,3,3,4,1,5,1,2,femme,42.0,campagne,salarié
les deux,radio;cd;dvd;vinyles,rtl2 europe 2,rock;pop,aucune préférence,francophone;anglophone;hispanique,engagées,1,,1,3,3,5,3,1,2,femme,50.0,campagne,salarié
avec des paroles,streaming,aucune,rap,années 2020;années 90;années 70 - 90,francophone,peu importe,2,120.0,2,5,2,5,3,1,2,homme,21.0,ville,salarié
les deux,plateforme de streaming;amerigo,rtl;nrj;nostalgie;france inter;france info;m radio,rock;pop;electro;classical music,1970-1990,francophone;anglophone;hispanique,peu importe,4,120.0,4,4,4,3,4,1,1,femme,52.0,campagne,salarié
les deux,streaming,nan,rap;electro,années 2020;années 2010;années 90,francophone;anglophone;allemande,engagées,5,150.0,4,5,4,5,4,1,1,homme,21.0,ville,étudiant
les deux,streaming,nan,rock,années 2000;années 70 - 90,anglophone,poétiques,2,,4,2,2,5,3,1,2,homme,22.0,ville,salarié
les deux,streaming,skyrock,rap;pop,ne sait pas,francophone;anglophone,poétiques,2,,3,5,5,5,5,1,1,femme,19.0,ville,étudiant
les deux,streaming,nrj;skyrock;fun radio,rap;jazz,ne sait pas,anglophone;brésilienne,engagées,3,120.0,4,2,3,5,3,1,2,femme,19.0,ville,étudiant
les deux,plateforme de streaming;radio;cd;dvd;vinyles,fun radio,rock;rap;pop;electro,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone;allemande,peu importe,3,180.0,4,1,4,5,3,1,1,homme,32.0,campagne,salarié
les deux,plateforme de streaming;radio;cd;dvd;vinyles,france inter,jazz;classical music,1970-1990,francophone;anglophone,engagées,4,90.0,5,5,5,4,3,1,2,homme,20.0,ville,étudiant
les deux,streaming,nan,techno,années 2020;années 2010;années 2000,anglophone;allemande;brésilienne,des gros kicks ca mere,3,180.0,5,5,3,5,5,1,1,homme,20.0,campagne,étudiant
les deux,plateforme de streaming;radio,rire&chansons;hit west;rtl2,rock;pop,années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,3,150.0,4,3,1,2,4,1,1,homme,17.0,campagne,étudiant
avec des paroles,streaming,nan,rap,années 2020;années 2010;années 2000,anglophone,peu importe,1,150.0,4,5,5,5,5,1,2,femme,20.0,ville,étudiant
les deux,streaming,nan,eclectic,années 2020;années 2000;années 90;années 70 - 90;années 50 - 70,anglophone,poétiques,4,,4,4,4,5,4,1,1,homme,19.0,banlieue,étudiant
les deux,streaming,nan,rock;rap;techno,aucune préférence,francophone;anglophone;allemande,peu importe,2,,4,5,4,5,3,1,1,homme,17.0,campagne,étudiant
instrumentaux,streaming,nrj,rap,aucune préférence,anglophone,engagées,3,,4,4,5,4,4,1,1,homme,17.0,campagne,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,rtl,rock;jazz;classical music,1970-1990,anglophone,peu importe,2,120.0,2,3,2,4,2,1,2,femme,68.0,campagne,retraité
les deux,streaming,nan,no preferences,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone;hispanique;brésilienne,peu importe,3,,3,4,5,4,4,1,1,homme,18.0,ville,étudiant
